ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,353,681.6666666666666,734.6666666666666,0,353,0,14
1,354,3029.0,739.5,0,354,625,0
1,355,3962.3333333333335,739.3333333333334,0,355,632,0
1,356,1874.5,740.0,0,356,567,0
1,357,1238.5,741.0,0,357,544,0
1,358,905.5,742.0,0,358,612,0
1,359,753.5,745.5,0,359,0,0
1,360,1859.5,745.0,0,360,585,0
1,361,3191.6666666666665,748.3333333333334,0,361,615,0
1,362,3909.0,749.5,0,362,628,0
1,363,4013.0,750.0,0,363,642,0
1,364,374.5,752.5,0,364,586,0
1,365,753.6666666666666,752.3333333333334,0,365,0,0
1,366,3274.5,754.5,0,366,0,0
1,367,4015.0,756.2857142857143,0,367,642,0
1,368,748.1666666666666,757.1666666666666,0,368,620,0
1,369,3088.5,758.0,0,369,658,0
1,370,548.5,760.0,0,370,605,0
1,371,1472.0,759.5,0,371,640,0
1,372,1437.0,760.5,0,372,668,0
1,373,1727.0,761.0,0,373,654,0
1,374,1406.7142857142858,761.4285714285714,0,374,649,0
1,375,3086.5,763.5,0,375,658,0
1,376,1177.0,765.5,0,376,660,0
1,377,2198.0,766.0,0,377,635,0
1,378,1407.0,767.0,0,378,649,0
1,379,1180.6,767.8,0,379,660,0
1,380,2619.5,771.0,0,380,655,0
1,381,2965.0,772.0,0,381,664,0
1,382,4013.285714285714,773.0,0,382,642,0
1,383,1568.6666666666667,776.3333333333334,0,383,647,0
1,384,1420.0,777.0,0,384,649,0
1,385,1683.0,778.5,0,385,0,0
1,386,2202.5,779.5,0,386,635,0
1,387,1448.4,779.8,0,387,687,0
1,388,1285.5,781.0,0,388,624,0
1,389,2569.714285714286,782.0,0,389,652,0
1,390,2943.3333333333335,784.6666666666666,0,390,664,0
1,391,2970.0,786.5,0,391,674,0
1,392,1348.0,788.5,0,392,678,0
1,393,3101.0,787.7142857142857,0,393,685,0
1,394,1438.5,790.0,0,394,680,0
1,395,1571.0,791.2857142857143,0,395,647,0
1,396,2942.5,791.5,0,396,664,0
1,397,2941.0,793.0,0,397,664,0
1,398,281.5,793.5,0,398,648,0
1,399,1501.0,794.0,0,399,677,0
1,400,2362.5,795.0,0,400,661,0
1,401,846.5,796.0,0,401,676,0
1,402,2604.5,797.5,0,402,683,0
1,403,1344.6666666666667,797.3333333333334,0,403,678,0
1,404,2674.285714285714,798.0,0,404,714,0
1,405,3617.0,798.2857142857143,0,405,0,0
1,406,3800.0,800.5,0,406,694,0
1,407,1429.0,801.0,0,407,680,0
1,408,839.0,802.0,0,408,676,0
1,409,1265.5,803.0,0,409,708,0
1,410,2673.2,803.4,0,410,714,0
1,411,3931.8333333333335,802.8333333333334,0,411,730,0
1,412,1369.3333333333333,806.3333333333334,0,412,702,0
1,413,886.3333333333334,806.6666666666666,0,413,745,0
1,414,820.6666666666666,809.3333333333334,0,414,686,0
1,415,4040.5,810.0,0,415,719,0
1,416,900.5,810.5,0,416,745,0
1,417,1093.5,811.5,0,417,711,0
1,418,2859.25,811.75,0,418,721,0
1,419,1501.5,813.5,0,419,677,0
