ImageNumber,ObjectNumber,Children_VIP_negative_alpha7_Count,Children_VIP_negative_beta2_Count,Children_VIP_positive_alpha7_Count,Children_VIP_positive_beta2_Count,Intensity_IntegratedIntensityEdge_VIP,Intensity_IntegratedIntensity_VIP,Intensity_LowerQuartileIntensity_VIP,Intensity_MADIntensity_VIP,Intensity_MassDisplacement_VIP,Intensity_MaxIntensityEdge_VIP,Intensity_MaxIntensity_VIP,Intensity_MeanIntensityEdge_VIP,Intensity_MeanIntensity_VIP,Intensity_MedianIntensity_VIP,Intensity_MinIntensityEdge_VIP,Intensity_MinIntensity_VIP,Intensity_StdIntensityEdge_VIP,Intensity_StdIntensity_VIP,Intensity_UpperQuartileIntensity_VIP,Location_CenterMassIntensity_X_VIP,Location_CenterMassIntensity_Y_VIP,Location_CenterMassIntensity_Z_VIP,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_VIP,Location_MaxIntensity_Y_VIP,Location_MaxIntensity_Z_VIP,Number_Object_Number,Parent_nuclei
1,11,1,1,0,0,0.46729228645563126,7.588296328438446,0.002475776302162558,0.00013733119703829288,0.20107696371431208,0.0031433585099875927,0.0034485389478504658,0.0026105714327130237,0.0026229852500651387,0.0026245517656207085,0.002151522086933255,0.002029449911788106,0.00020855406464071851,0.0002044664512586618,0.0027618829626590014,3033.2134188888376,126.29015541957655,0.0,3033.3024541997925,126.47044590390598,0,3033.0,124.0,0.0,11,11
1,12,1,1,0,0,0.14850080106407404,1.3337758446577936,0.0,0.0,10.13310539457658,0.002944991225376725,0.0034943160135298967,0.0013026386058252108,0.0011370638061873773,0.0,0.0,0.0,0.0013077283715047217,0.0013259030409015842,0.002609292743727565,3408.7612946035306,123.11809996682264,0.0,3418.1969309462916,119.42369991474851,0,3419.0,132.0,0.0,12,12
1,13,1,1,0,0,0.3677271686028689,3.633936063852161,0.002685587853193283,0.00013733119703829288,0.3482247964490511,0.0034485389478504658,0.0034485389478504658,0.00285059820622379,0.002821378931562237,0.0028076600283384323,0.0024567025247961283,0.0022583352401852608,0.00020957257148693188,0.00019072966009065477,0.002944991225376725,3273.8561200923787,126.98378332983414,0.0,3274.0628881987577,127.2639751552795,0,3259.0,121.0,0.0,13,13
1,14,1,1,0,0,0.64008545037359,4.4776836794335395,0.0027466239407658577,0.00012207217514514923,0.12189278338286415,0.0034485389478504658,0.003707942320033908,0.0028963142550841176,0.002872151173466029,0.002868696115911007,0.0025024795904755592,0.0023041123058646917,0.00018899196259392043,0.0001814099992747479,0.0029755092691630125,3248.153882328886,138.67161478300875,0.0,3248.0968569595893,138.77934573444514,0,3252.0,103.0,0.0,14,14
1,15,1,1,0,0,0.19172961008735,0.9792935070581734,0.0026703288313001394,0.00012207217514514923,0.032519792752431664,0.0032349126413464546,0.0032349126413464546,0.002819553089519853,0.0027820838268698108,0.002777141984552145,0.002334630349650979,0.002334630349650979,0.00017143886463088912,0.000159709208101042,0.0028992141596972942,3226.070491445667,133.0485680451245,0.0,3226.0625,133.01704545454547,0,3224.0,146.0,0.0,15,15
1,16,1,1,0,0,0.3752040893305093,5.605081252986565,0.0023498893715441227,0.00018310826271772385,6.79563046221461,0.00317387655377388,0.003402761882171035,0.0019340416975799448,0.0021207269212964682,0.002594033721834421,0.0,0.0,0.0011974775279450867,0.0010817225600584471,0.0027466239407658577,3415.795630075491,151.3166697973751,0.0,3422.097237987136,148.77298524404085,0,3412.0,150.0,0.0,16,16
1,17,1,1,0,0,0.5617151139304042,5.172137025743723,0.002685587853193283,0.00012207217514514923,0.11155879727214149,0.0032959487289190292,0.004226749297231436,0.0027946025568676824,0.0028232189005151327,0.0028076600283384323,0.0023041123058646917,0.0022735942620784044,0.00020389577766462044,0.00021707391905289377,0.002944991225376725,3213.9482440180814,155.25590932255315,0.0,3213.9306768558954,155.1457423580786,0,3203.0,161.0,0.0,17,17
1,18,1,1,0,0,0.4769817653577775,5.857007704442367,0.0024872205685824156,0.00013733119703829288,0.35974443184881566,0.003479056991636753,0.003479056991636753,0.0026498986964320972,0.0026205851026587772,0.002609292743727565,0.002121004043146968,0.0019989318680018187,0.00024140655649166845,0.00021228540150084073,0.0027618829626590014,3100.1779548195987,135.53396085337863,0.0,3100.1637583892616,135.1744966442953,0,3096.0,166.0,0.0,18,18
1,19,1,1,0,0,0.3510185396298766,2.678126191487536,0.002563515678048134,0.0001678492408245802,0.4217692200630114,0.0036774242762476206,0.003997863736003637,0.0027001426125375125,0.002732781828048506,0.0027161058969795704,0.0021362630650401115,0.001678492408245802,0.00026322696677534926,0.00025792848344477205,0.0028839551378041506,3127.7319427272364,138.8906165425529,0.0,3127.8806122448977,138.49591836734695,0,3114.0,149.0,0.0,19,19
1,20,1,1,0,0,0.2697184709832072,4.025665673892945,0.0,0.0003051804378628731,9.11453443075801,0.0031891355756670237,0.003479056991636753,0.0015865792410776896,0.0017404520855568287,0.0024872205685824156,0.0,0.0,0.0013246666931993783,0.00126003270262523,0.0027008468750864267,2727.5091918035646,159.22175178718985,0.0,2727.516212710765,150.10722006052745,0,2714.0,151.0,0.0,20,20
