ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_beta2,Parent_VIP_positive_beta2
1,487,5177.5,833.0,0,487,316,0
1,488,5107.0,834.0,0,488,289,0
1,489,5350.5,834.5,0,489,299,0
1,490,5974.285714285715,834.8571428571429,0,490,308,0
1,491,6126.4,834.2,0,491,275,0
1,492,5375.333333333333,837.5,0,492,315,0
1,493,5429.5,837.5,0,493,293,0
1,494,5170.0,838.5,0,494,316,0
1,495,5496.833333333333,838.1666666666666,0,495,309,0
1,496,5428.333333333333,838.6666666666666,0,496,293,0
1,497,5390.0,840.0,0,497,305,0
1,498,5851.6,840.2,0,498,292,0
1,499,5386.0,841.0,0,499,305,0
1,500,5860.5,841.0,0,500,292,0
1,501,6036.0,840.1666666666666,0,501,300,0
1,502,6038.0,841.0,0,502,300,0
1,503,5487.142857142857,842.7142857142857,0,503,309,0
1,504,5604.0,843.5,0,504,307,0
1,505,5462.5,846.5,0,505,293,0
1,506,6037.25,846.0,0,506,300,0
1,507,5079.0,847.5,0,507,312,0
1,508,5581.8,848.4,0,508,310,0
1,509,5330.5,849.0,0,509,301,0
1,510,5383.0,849.0,0,510,315,0
1,511,5146.0,850.0,0,511,316,0
1,512,5153.0,850.0,0,512,316,0
1,513,5745.0,850.0,0,513,280,0
1,514,6198.5,850.5,0,514,286,0
1,515,5742.8,850.8,0,515,280,0
1,516,6161.0,852.0,0,516,319,0
1,517,0.5714285714285714,852.2857142857143,0,517,318,0
1,518,2.25,852.0,0,518,318,0
1,519,5146.5,851.5,0,519,316,0
1,520,5831.6,852.0,0,520,292,0
1,521,6038.0,852.0,0,521,300,0
1,522,5377.285714285715,853.2857142857143,0,522,315,0
1,523,5156.5,854.0,0,523,316,0
1,524,5186.0,853.5,0,524,317,0
1,525,6155.0,854.0,0,525,319,0
1,526,5502.0,855.0,0,526,321,0
1,527,5983.714285714285,855.0,0,527,308,0
1,528,5348.0,856.0,0,528,315,0
1,529,6091.25,857.0,0,529,314,0
1,530,5392.75,857.75,0,530,315,0
1,531,5376.333333333333,859.3333333333334,0,531,315,0
1,532,5391.0,858.7142857142857,0,532,315,0
1,533,6056.0,859.0,0,533,333,0
1,534,5372.5,860.5,0,534,315,0
1,535,5845.666666666667,860.3333333333334,0,535,292,0
1,536,5374.333333333333,860.3333333333334,0,536,315,0
1,537,5645.0,862.0,0,537,320,0
1,538,5382.166666666667,862.8333333333334,0,538,315,0
1,539,5659.833333333333,863.6666666666666,0,539,320,0
1,540,5352.0,864.0,0,540,315,0
1,541,5663.0,864.0,0,541,320,0
1,542,5381.5,865.0,0,542,315,0
1,543,5350.0,867.0,0,543,315,0
1,544,5354.2,867.4,0,544,315,0
1,545,5757.25,868.0,0,545,339,0
1,546,6214.0,872.5,0,546,331,0
1,547,6220.0,873.5,0,547,331,0
1,548,5106.0,877.0,0,548,340,0
1,549,5396.833333333333,877.8333333333334,0,549,345,0
1,550,5528.0,879.0,0,550,326,0
1,551,5838.0,880.0,0,551,335,0
1,552,5502.8,882.2,0,552,326,0
1,553,5583.0,886.0,0,553,338,0
1,554,5566.5,887.0,0,554,341,0
1,555,5449.5,890.5,0,555,356,0
1,556,6154.0,891.0,0,556,347,0
1,557,5753.8,894.8,0,557,339,0
1,558,6006.285714285715,895.0,0,558,348,0
1,559,6087.0,895.0,0,559,355,0
1,560,5987.666666666667,895.3333333333334,0,560,349,0
1,561,6080.5,896.0,0,561,336,0
1,562,5967.571428571428,897.7142857142857,0,562,361,0
1,563,5967.0,900.0,0,563,361,0
1,564,5968.4,901.2,0,564,361,0
1,565,5028.666666666667,902.6666666666666,0,565,359,0
1,566,5033.0,902.5,0,566,359,0
1,567,6149.666666666667,901.6666666666666,0,567,347,0
1,568,6255.0,903.0,0,568,354,0
1,569,5030.857142857143,902.2857142857143,0,569,359,0
1,570,5488.5,902.5,0,570,351,0
1,571,5181.285714285715,905.5714285714286,0,571,342,0
1,572,5410.142857142857,904.2857142857143,0,572,345,0
1,573,5978.666666666667,905.3333333333334,0,573,361,0
1,574,5294.5,907.5,0,574,376,0
1,575,5988.333333333333,906.6666666666666,0,575,349,0
1,576,5021.142857142857,910.2857142857143,0,576,359,0
1,577,5019.0,911.0,0,577,359,0
1,578,5495.666666666667,911.3333333333334,0,578,351,0
1,579,5715.285714285715,911.1428571428571,0,579,362,0
1,580,5889.5,911.0,0,580,363,0
1,581,5969.0,911.0,0,581,361,0
1,582,5187.4,913.2,0,582,342,0
1,583,5970.333333333333,912.0,0,583,361,0
1,584,5436.75,915.25,0,584,360,0
1,585,5481.0,915.0,0,585,357,0
1,586,6003.5,915.5,0,586,358,0
1,587,5044.0,917.0,0,587,359,0
1,588,5291.5,917.5,0,588,376,0
1,589,5687.0,917.0,0,589,374,0
1,590,6116.0,916.5,0,590,346,0
1,591,5434.5,918.0,0,591,360,0
1,592,5048.0,919.0,0,592,359,0
1,593,5547.666666666667,919.6666666666666,0,593,384,0
1,594,5901.0,919.2857142857143,0,594,363,0
1,595,5302.333333333333,921.3333333333334,0,595,376,0
1,596,5274.5,922.0,0,596,364,0
1,597,5433.0,921.5,0,597,360,0
1,598,5885.0,922.0,0,598,363,0
1,599,5433.428571428572,924.2857142857143,0,599,360,0
1,600,5739.666666666667,927.3333333333334,0,600,382,0
1,601,5967.6,929.2,0,601,361,0
1,602,250.5,931.0,0,602,390,0
1,603,5286.333333333333,931.6666666666666,0,603,388,0
1,604,5299.0,931.0,0,604,376,0
1,605,5314.6,931.0,0,605,376,0
1,606,5558.571428571428,931.2857142857143,0,606,384,0
1,607,5341.0,934.0,0,607,379,0
