ImageNumber,ObjectNumber,Children_Cells_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,160,1,3217.991452991453,536.7094017094017,0,160
1,161,1,3116.0576923076924,536.4855769230769,0,161
1,162,1,3277.3077586206896,534.7387931034483,0,162
1,163,1,4017.4887892376682,540.7309417040359,0,163
1,164,1,3303.37890625,538.34375,0,164
1,165,1,3009.0404624277458,538.3511560693642,0,165
1,166,1,2943.417218543046,540.1423841059602,0,166
1,167,1,3314.5522388059703,545.4179104477612,0,167
1,168,1,3102.0411568409345,546.5250278086763,0,168
1,169,1,3470.9650872817956,544.7630922693266,0,169
1,170,1,3550.0725806451615,548.4677419354839,0,170
1,171,1,3873.510324483776,549.3392330383481,0,171
1,172,1,3755.11875,548.5520833333334,0,172
1,173,1,3945.4176829268295,553.7225609756098,0,173
1,174,1,2735.123595505618,554.0842696629213,0,174
1,175,1,3020.9489361702126,558.5553191489362,0,175
1,176,1,3203.574440052701,550.1765480895916,0,176
1,177,1,3467.15,557.758695652174,0,177
1,178,1,3538.811059907834,554.3179723502304,0,178
1,179,1,3565.4853333333335,552.104,0,179
1,180,1,3854.860696517413,556.0149253731344,0,180
1,181,1,3881.868735083532,561.2553699284009,0,181
1,182,1,2747.435294117647,560.0823529411765,0,182
1,183,1,3153.301470588235,561.4142156862745,0,183
1,184,1,3371.846153846154,559.0029027576197,0,184
1,185,1,3219.280205655527,562.7352185089974,0,185
1,186,1,3052.2661596958174,561.8403041825095,0,186
1,187,1,2729.05625,563.04375,0,187
1,188,1,4045.5069075451647,573.2826780021254,0,188
1,189,1,3857.1587982832616,566.9742489270386,0,189
1,190,1,3068.560810810811,573.6317567567568,0,190
1,191,1,3431.099089989889,567.3973710819009,0,191
1,192,1,3990.8875,568.2083333333334,0,192
1,193,1,3150.235668789809,573.312101910828,0,193
1,194,1,3186.945996275605,575.9106145251396,0,194
1,195,1,3162.6243093922653,573.8508287292817,0,195
1,196,1,3937.270401948843,568.1802679658953,0,196
1,197,1,4871.919254658385,572.3540372670808,0,197
1,198,1,2713.889328063241,574.5296442687747,0,198
1,199,1,3476.653701380176,576.9385194479297,0,199
1,200,1,3051.6127819548874,576.718045112782,0,200
1,201,1,3918.811111111111,575.1111111111111,0,201
1,202,1,3205.65,576.7607142857142,0,202
1,203,1,3397.1543985637345,575.1472172351885,0,203
1,204,1,3112.6990541702494,577.4436801375753,0,204
1,205,1,3172.6014851485147,577.8440594059406,0,205
1,206,1,3311.308970099668,583.5448504983389,0,206
1,207,1,4000.682389937107,578.6477987421383,0,207
1,208,1,2730.8405172413795,579.5086206896551,0,208
1,209,1,2653.1714285714284,582.3942857142857,0,209
1,210,1,3089.6260162601625,587.1219512195122,0,210
1,211,1,3466.3882352941177,589.2627450980392,0,211
1,212,1,4068.6878612716764,590.9653179190751,0,212
1,213,1,3363.2478165938865,590.5764192139738,0,213
1,214,1,4176.464912280701,589.6842105263158,0,214
1,215,1,2615.0826210826212,596.5299145299145,0,215
1,216,1,3381.4424379232505,595.3860045146727,0,216
1,217,1,3497.6884057971015,595.9782608695652,0,217
1,218,1,3534.174193548387,596.5419354838709,0,218
1,219,1,3236.753709198813,605.353115727003,0,219
1,220,1,3511.8578329882675,608.319530710835,0,220
1,221,1,2637.312030075188,605.0588972431078,0,221
1,222,1,3407.4540540540543,605.7351351351351,0,222
1,223,1,3787.3503836317136,609.0869565217391,0,223
1,224,1,3220.1457489878544,601.2591093117409,0,224
1,225,1,3165.69386038688,613.3818334735072,0,225
1,226,1,3396.7684426229507,607.4938524590164,0,226
1,227,1,4893.431330472103,618.9742489270386,0,227
1,228,1,3785.4761904761904,620.6666666666666,0,228
1,229,1,3748.748148148148,625.2296296296296,0,229
1,230,1,4926.924485125858,634.0045766590389,0,230
1,231,1,2631.492957746479,629.0798122065728,0,231
