ImageNumber,ObjectNumber,Children_alpha7_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,81,0,1,0,0,5784.741379310345,1636.2693965517242,0,81,2012
1,82,0,1,0,0,5395.579554494829,1652.9474940334128,0,82,2021
1,83,0,1,0,0,5607.184831102613,1660.157425111536,0,83,2022
1,84,0,1,0,0,5959.259325044405,1646.8117229129662,0,84,2025
1,85,0,1,0,0,5887.366336633663,1655.8613861386139,0,85,2036
1,86,0,1,0,0,5763.2775290957925,1649.9955237242614,0,86,2039
1,87,0,1,0,0,5517.349650349651,1662.2400932400933,0,87,2047
1,88,0,1,0,0,5952.083550913838,1662.9321148825065,0,88,2051
1,89,0,1,0,0,5776.845098039215,1666.7901960784313,0,89,2066
1,90,0,1,0,0,5923.583739837399,1656.770731707317,0,90,2073
1,91,0,1,0,0,5721.264573991031,1654.4921524663678,0,91,2076
1,92,0,1,0,0,5800.834862385321,1668.9045871559633,0,92,2077
1,93,0,1,0,0,5899.145161290323,1672.4903225806452,0,93,2082
1,94,0,1,0,0,5686.582673267327,1663.2564356435644,0,94,2086
1,95,0,1,0,0,5945.69430894309,1675.0373983739837,0,95,2089
1,96,0,1,0,0,5507.926332288402,1675.5987460815047,0,96,2100
1,97,0,1,0,0,5846.836714975845,1672.4260869565217,0,97,2104
1,98,0,1,0,0,5882.135384615384,1685.7184615384615,0,98,2105
1,99,0,1,0,0,5734.631375579598,1674.2047913446677,0,99,2114
1,100,0,1,0,0,5479.22,1685.3848648648648,0,100,2115
1,101,0,1,0,0,5928.753646677472,1696.4786601836845,0,101,2117
1,102,0,1,0,0,5559.508255563532,1680.8492462311558,0,102,2119
1,103,0,1,0,0,5862.862778730703,1693.5626072041166,0,103,2129
1,104,0,1,0,0,5789.196211096076,1689.553450608931,0,104,2133
1,105,0,1,0,0,5534.8293172690765,1695.8734939759036,0,105,2136
1,106,0,1,0,0,5626.754432624113,1685.525709219858,0,106,2148
1,107,0,1,0,0,5656.889130434783,1704.6853260869566,0,107,2156
1,108,0,1,0,0,5686.987951807229,1699.9638554216867,0,108,2164
1,109,0,1,0,0,5580.167692307692,1695.0184615384615,0,109,2167
1,110,0,1,0,0,5625.699448529412,1715.5680147058824,0,110,2172
1,111,0,1,0,0,5782.9865005192105,1714.4755970924195,0,111,2173
1,112,0,1,0,0,5722.714285714285,1704.432967032967,0,112,2175
1,113,0,1,0,0,5854.470096463023,1712.8347266881028,0,113,2176
1,114,0,1,0,0,5552.643171806168,1712.7643171806167,0,114,2183
1,115,0,1,0,0,5759.961119751167,1704.2472783825817,0,115,2184
1,116,0,1,0,0,5508.511140819965,1719.1662210338682,0,116,2192
1,117,0,1,0,0,5590.188602442334,1713.6947082767979,0,117,2203
1,118,0,1,0,0,5695.43811394892,1729.521283562541,0,118,2204
1,119,0,1,0,0,5817.166858017605,1723.1350937619595,0,119,2208
1,120,0,1,0,0,5901.906305244549,1723.7436652916913,0,120,2218
1,121,0,1,0,0,5755.699266503668,1723.9828850855745,0,121,2224
1,122,0,1,0,0,5495.092335546168,1745.6566083283042,0,122,2230
1,123,0,1,0,0,5754.234498308906,1736.4509582863584,0,123,2246
1,124,0,1,0,0,5549.191304347826,1743.9256038647343,0,124,2258
1,125,0,1,0,0,5584.34067871309,1743.9625385632437,0,125,2283
1,126,0,1,0,0,5733.036858006042,1753.8815709969788,0,126,2284
1,127,0,1,0,0,5376.237043330501,1759.7833474936278,0,127,2335
1,128,0,1,0,0,5382.492619926199,1785.190036900369,0,128,2360
1,129,0,1,0,0,6016.394795539033,1780.245600991326,0,129,2363
1,130,1,1,0,0,4658.410607356715,1790.434131736527,0,130,2388
1,131,0,1,0,0,5975.469543147208,1792.17089678511,0,131,2402
1,132,0,1,0,0,5947.46875,1802.4123475609756,0,132,2407
1,133,0,1,0,0,4628.286567164179,1809.3089552238805,0,133,2425
1,134,0,1,0,0,5953.265217391305,1825.0782608695652,0,134,2442
1,135,0,1,0,0,4645.274787535411,1828.3314447592068,0,135,2455
1,136,0,1,0,0,4672.614134275618,1828.1455830388693,0,136,2456
1,137,0,1,0,0,5428.781555659059,1823.1187703772707,0,137,2457
1,138,0,1,0,0,5468.279102384292,1820.694950911641,0,138,2475
1,139,0,1,0,0,5982.825388601036,1845.1401554404144,0,139,2480
1,140,0,1,0,0,5703.924054982818,1843.089347079038,0,140,2506
1,141,0,1,0,0,5668.3736047275115,1856.8043335521995,0,141,2516
1,142,0,1,0,0,5425.233103448276,1865.2671264367816,0,142,2531
1,143,0,1,0,0,5528.669603524229,1867.2858541360745,0,143,2555
1,144,0,1,0,0,5488.037513397642,1883.4308681672026,0,144,2577
1,145,0,1,0,0,1743.4441976679623,1887.4558578567462,0,145,2597
1,146,0,1,0,0,5073.163498098859,1911.8124207858048,0,146,2604
1,147,0,1,0,0,5047.4027446300715,1930.7243436754177,0,147,2628
1,148,0,1,0,0,5626.6506493506495,1931.5463203463203,0,148,2641
1,149,3,0,0,1,1720.42107472712,1926.9676742233416,0,149,2643
1,150,0,1,0,0,1761.4044489383216,1933.9747219413548,0,150,2644
1,151,2,1,0,0,5138.521695925803,1961.5554819476647,0,151,2700
1,152,2,1,0,0,5042.92217713058,1989.4132251133922,0,152,2743
1,153,0,1,0,0,5688.138934832948,1984.610651670526,0,153,2746
1,154,1,1,0,0,853.3755674783326,1989.6797358646306,0,154,2765
1,155,0,1,0,0,5509.006780870806,1999.2401855817272,0,155,2779
1,156,0,1,0,0,5469.231351351352,2007.7805405405406,0,156,2791
1,157,1,1,0,0,4744.885321100917,2038.9885321100917,0,157,2810
1,158,0,1,0,0,5472.344879518072,2036.5085341365461,0,158,2822
1,159,0,1,0,0,5533.898538263113,2039.6861564918315,0,159,2827
1,160,1,1,0,0,3062.9051404345523,2054.1881293057763,0,160,2857
1,161,2,1,0,0,3072.175,2083.469791666667,0,161,2885
1,162,0,1,0,0,5462.364503816794,2074.239094874591,0,162,2898
1,163,2,1,0,0,3130.3982078853046,2115.473835125448,0,163,2968
1,164,1,1,0,0,5038.546925566343,2126.1272923408847,0,164,2987
1,165,0,1,0,0,3625.9367704280157,2152.673151750973,0,165,3028
1,166,0,1,0,0,1625.7865937072504,2148.419972640219,0,166,3051
1,167,0,1,0,0,5044.009750152346,2173.4625228519194,0,167,3094
1,168,3,0,0,1,612.7818688981869,2277.1930264993025,0,168,3253
1,169,1,1,0,0,3299.7619863013697,2353.2551369863013,0,169,3359
1,170,8,0,1,0,653.543238095238,2388.3238095238094,0,170,3400
1,171,1,1,0,0,680.2396313364055,2416.4347158218125,0,171,3456
1,172,1,1,0,0,3102.545376344086,2420.1643010752687,0,172,3461
1,173,0,1,0,0,669.1683569979716,2439.820824881677,0,173,3510
1,174,2,1,0,0,3086.49173553719,2448.876033057851,0,174,3511
1,175,4,0,0,1,1617.112370625924,2461.070970921636,0,175,3526
1,176,0,1,0,0,3094.771124417831,2500.135728542914,0,176,3585
1,177,2,1,0,0,1638.303443794672,2499.9181286549706,0,177,3599
1,178,1,1,0,0,4039.3536141445657,2536.2667706708266,0,178,3615
1,179,0,1,0,0,2786.029049897471,2535.4907723855094,0,179,3622
1,180,1,1,0,0,3985.9882659713167,2552.701434159061,0,180,3633
1,181,2,1,0,0,3415.473367932259,2584.7375034143674,0,181,3678
1,182,2,1,0,0,2439.177174780527,2627.0654429369515,0,182,3733
1,183,1,1,0,0,2572.153355602794,2676.8985727300333,0,183,3789
1,184,4,0,0,1,2601.1570275722934,2713.9105581708136,0,184,3819
1,185,3,0,0,1,2461.552765790506,2781.7787367595133,0,185,3885
1,186,1,1,0,0,2431.8114532685036,2778.9681253376552,0,186,3898
1,187,1,1,0,0,1722.6416978776529,2799.3483146067415,0,187,3923
1,188,1,1,0,0,1721.9197651663405,2825.021526418787,0,188,3928
1,189,4,0,0,1,2418.92745302714,2840.624217118998,0,189,3951
1,190,2,1,0,0,2345.3628025477706,2900.612229299363,0,190,4002
1,191,5,0,0,1,2171.055942253158,2905.61716937355,0,191,4004
1,192,10,0,1,0,2366.500149476831,2958.7748878923767,0,192,4047
1,193,1,1,0,0,2236.591121495327,3111.966121495327,0,193,4198
1,194,2,1,0,0,416.27870680044595,3130.9933110367892,0,194,4203
1,195,0,1,0,0,1791.28079612695,3160.8800430338893,0,195,4233
1,196,0,1,0,0,1340.2551342812005,3169.768562401264,0,196,4252
1,197,0,1,0,0,693.615664845173,3194.2131147540986,0,197,4265
1,198,0,1,0,0,1323.5891530460624,3186.6872213967313,0,198,4267
1,199,0,1,0,0,1312.6746113989636,3202.4538860103626,0,199,4281
1,200,0,1,0,0,1481.9900596421471,3357.168986083499,0,200,4375
1,201,0,1,0,0,1466.3851851851853,3362.5333333333333,0,201,4387
